NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
2,1,3,65,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,20,30,0,0,0,0,0.1,0.2,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,1,0.0,0,1,1.0,0.0,0
3,2,4,80,1,1,1,0,0,1,1,0,0,5,1,1,0,1,1,0,25,40,10,1,1,1,0.5,0.6,0,1,0,1,1,0.2,1,1,1,0,1,1,0,2,1,0.3,1,0,0.1,1.0,1
4,1,2,50,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,18,20,5,0,0,0,0.0,0.1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0
5,3,5,100,2,1,1,1,0,0,1,1,0,7,1,1,1,1,1,1,30,50,20,1,2,1,0.7,0.8,0,1,0,1,1,0.3,1,1,1,1,1,1,0,3,1,0.5,1,1,0.2,1.0,1
1,0,1,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,10,0,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
6,2,6,120,3,2,0,1,0,0,2,0,0,10,1,1,1,1,1,0,35,60,25,1,2,1,0.8,0.9,0,1,1,1,1,0.4,1,1,1,1,1,1,1,2,1,0.6,1,1,0.3,1.0,1
2,2,3,70,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,22,32,7,0,1,0,0.2,0.3,1,0,0,0,0,0.1,0,0,0,0,0,0,0,2,1,0.1,0,1,0.0,0.0,0
3,3,4,90,1,1,1,0,0,1,2,1,0,6,1,1,1,1,1,1,28,45,15,1,2,1,0.6,0.7,0,1,0,1,1,0.3,1,1,1,0,1,1,1,3,1,0.4,1,1,0.2,1.0,1
2,1,2,55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,19,25,3,0,0,0,0.1,0.1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0
4,2,4,85,1,1,1,0,0,1,1,0,0,4,1,1,0,1,1,0,26,38,12,1,1,1,0.4,0.5,0,1,1,1,1,0.2,1,1,1,1,1,1,0,2,1,0.3,1,0,0.1,1.0,1
